S,M,Litoral (km),S1,Estado
 Amapá,Calçoene,246.59,Amapá, Amapá
 Amapá,Amapá,177.41,Amapá, Amapá
 Amapá,Macapá,80.7,Amapá, Amapá
 Amapá,Oiapoque,73.61,Amapá, Amapá
 Pará,Viseu,240.01,Pará, Pará
 Pará,Chaves,220.95,Pará, Pará
 Pará,Augusto Corrêa,173.73,Pará, Pará
 Pará,Bragança,128.11,Pará, Pará
 Pará,São João de Pirabas,127.61,Pará, Pará
 Pará,Soure,124.76,Pará, Pará
 Pará,Tracuateua,90.96,Pará, Pará
 Pará,Curuçá,89.62,Pará, Pará
 Pará,Quatipuru,59.72,Pará, Pará
 Pará,Marapanim,49.74,Pará, Pará
 Pará,Maracanã,44.53,Pará, Pará
 Pará,Salinópolis,39.65,Pará, Pará
 Pará,São Caetano de Odivelas,37.82,Pará, Pará
 Pará,Magalhães Barata,2.36,Pará, Pará
 Maranhão,Cururupu,430.95,Maranhão, Maranhão
 Maranhão,Turiaçu,306.62,Maranhão, Maranhão
 Maranhão,Carutapera,239.83,Maranhão, Maranhão
 Maranhão,Cândido Mendes,209.38,Maranhão, Maranhão
 Maranhão,Godofredo Viana,143.02,Maranhão, Maranhão
 Maranhão,Apicum-Açu,137.53,Maranhão, Maranhão
 Maranhão,Alcântara,80.54,Maranhão, Maranhão
 Maranhão,Luís Domingues,66.36,Maranhão, Maranhão
 Maranhão,Araioses,64.56,Maranhão, Maranhão
 Maranhão,Barreirinhas,59.67,Maranhão, Maranhão
 Maranhão,Raposa,58.61,Maranhão, Maranhão
 Maranhão,Cedral,55.47,Maranhão, Maranhão
 Maranhão,Humberto de Campos,48.81,Maranhão, Maranhão
 Maranhão,Bacuri,46.62,Maranhão, Maranhão
 Maranhão,Santo Amaro do Maranhão,43.34,Maranhão, Maranhão
 Maranhão,Icatu,43.22,Maranhão, Maranhão
 Maranhão,Porto Rico do Maranhão,39.37,Maranhão, Maranhão
 Maranhão,Tutóia,39.12,Maranhão, Maranhão
 Maranhão,São José de Ribamar,25.25,Maranhão, Maranhão
 Maranhão,Paulino Neves,22.78,Maranhão, Maranhão
 Maranhão,Paço do Lumiar,21.33,Maranhão, Maranhão
